Population,Growth rate,Birth rate,Death rate,Life expectancy,Fertility rate,Infant mortality rate,Country,male,female
1407562280,0.59,11.673,7.261,76.5,1.5,9.595,China,74.4,78.6
1390885000,1.2,18.2,7.3,69.7,2.17,29.94,India,68.4,71.2
331449281,0.72,11.6,8.9,77.8,1.638,,United States,75.1,80.5
222903998,2.00,29.8,7.5,70.0,3.56,53.86,Pakistan,69.9,70.1
161376708,1.01,17.71,5.54,72.72,2.00,24.73,Bangladesh,71.1,74.4
144386830,,,,73.34,1.507,4.9,Russia,67.75,77.82
126014024,1.9,18.3,5.8,76.66,2.4,16.77,Mexico,73.84,79.63
109224414,2.9,33.5,7.8,60,4.6,68,Ethiopia,57.73,62.35
100981437,1.72,19.0,5.2,71.66,3.0,19.34,Philippines,68.72,74.74
97141003,1.14,15.5,5.9,73.7,1.81,17.3,Vietnam,71.2,76.4
83614362,0.55,13.0,,78.6,1.73,8.6,Turkey,75.9,81.3
83190556,0.0,9.5,11.5,81,1.57,3.46,Germany,79,83
67406000,,11.0,9.8,82.2,1.84,3.8,France,79.2,85.2
66796807,,11.0,9.3,81,1.65,,United Kingdom,,
58775022,1.43,21,9,64.7,2.32,22.1,South Africa,61.5,67.5
51049498,0.8,18.9,5.8,79,1.80,,Colombia,76,83
44361150,1.036,17.75,7.39,77.14,2.29,10.52,Argentina,73.9,80.54
41588354,-6.6,8.1,14.7,71.76,1.30,7.0,Ukraine,6669,7672
33091113,1.49,14.7,3.4,75.7,1.95,,Saudi Arabia,74.2,77.3
37466414,2.34,38.3,13.7,63.2,5.33,66.3,Afghanistan,63.3,63.2
25.55,0.84,14.35,9.39,71.65,1.91,22.42,North Korea,67.79,75.74
21803000,0.612,17.04,5.96,75.94,2.00,9.47,Sri Lanka,72.43,79.59
17094270,0.9,14.7,5.7,79.57,1.89,7.4,Chile,76.26,82.96
19317984,-0.29,9.27,11.88,75,1.76,9.01,Romania,71.4,78.8
18897898,13.5,22.4,8.9,67.87,2.65,18.4,Kazakhstan,62.58,73.47
17474677,0.29,9.8,8.8,82.1,1.574,,Netherlands,80.4,83.8
,1.63,22.5,6.0,69.6,2.66,24,Cambodia,67.3,71.6
10027254,21.2,23.7,6.6,68.87,2.8,39.7,Bolivia,65.4,71.1
11556297,0.59,11.03,9.71,81.65,1.77,3.24,Belgium,79.02,84.4
11167325,-0.1,9.92,7.58,78.0,1.45,4.76,Cuba,75.8,80.4
2015,2.05,23.9,3.4,74.8,2.7,,Jordan,73.4,76.3
10.718.565,-1.01,7.9,12.3,82.2,1.35,3.75,Greece,79.8,84.7
10701777,0.004,8.9,10.7,79.3,1.48,2.6,Czech Republic,76.3,82.4
9730000,−4.9,9.5,14.3,76.16,1.55,3.4,Hungary,72.86,79.33
9364000,2.0,21.5,5.2,82.7,3.13,4.03,Israel,80.7,84.6
8570146,0.75,10.5,8.13,83.8,1.53,3.67,Switzerland,81.9,85.6
7650150,15.40,37.40,11.03,57.39,4.2,73.29,Sierra Leone,54.85,60.00
6926705,−5.4,9.3,14.6,75.7,1.52,4.8,Serbia,73.1,78.4
6916548,-9.5,8.5,18.0,74.8,1.56,5.1,Bulgaria,71.4,78.4
5469612,-6.68,13.6,5.4,78.3,1.72,6.8,Lebanon,76.9,79.8
6523500,1.32,22.88,2.69,69.43,2.65,31.26,Kyrgyzstan,65.53,73.64
5084300,2.1,12.43,6.95,,1.81,3.87,New Zealand,79.9,83.4
4761865,1.77,13.7,6.5,80.19,1.91,3.85,Ireland,78,82.6
4067500,−5.0,8.9,12.9,782,1.47,4.2,Croatia,749,814
3716858,1.5,14.3,12.8,73.5,,8.1,Georgia,,
3296866,1.46,20.7,6.01,68.63,2.19,36,Mongolia,66.16,71.23
3046100,0.27,2.97,1.76,,,,Armenia,,
2681735,−0.3,10.5,10.8,73.21,1.57,9.4,Moldova,69.35,76.96
2173999,38.3,29.4,7,65.1,3.52,60.2,Gambia,62.8,67.5
2077132,0.13,11.2,9.9,75.40,1.30,8.3,North Macedonia,73.45,77.41
1907675,-1.08,9.8,14.5,75.6,1.61,3.4,Latvia,71,80
1768172,0.06,17.09,7.0,69,2.09,36.4,Kosovo,67,71
994017,2.23,25.27,8.23,62.4,2.79,53.31,Djibouti,59.93,64.94
884887,,22.5,8.10,72.1,2.9,12.5,Fiji,65.4,68.5
37308,2.25,13.1,10.4,84.7,1.52,,Monaco,,
10084,0.19,27.20,7.50,59.7,3.70,44.0,Nauru,56.8,62.7
